,会社名,初年度年収,給与
0,株式会社NS丸和ロジスティクス | 【安定感抜群】株式会社丸和運輸機関(東証一部上場)グループ会社,【研修制度が充実！未経験・第二新卒・フリーターも歓迎】■普通自動車免許をお持ちの方（AT限定可）★学歴・性別・前職不問★20～30代活躍中！★,《2021年8月オープン！》 *目黒南事業所 東京都目黒区南1-16-11 ＜アクセス＞ 東急目黒…
1,株式会社アンフィス | 売上はしっかり社員に還元/固定給が高待遇/コロナ禍でも業績好調,【面接1～2回！経験者優遇】＼不動産の知識を幅広く身につけたい／＼収入を上げてさらにキャリアアップをしたい方！／そんな方、歓迎！,＜転勤なし／移転したての綺麗なオフィス＞ 【本社】 東京都渋谷区笹塚2-21-12 ≪アクセス≫…
